simulation_id,final_value,cagr
34114,2124856.4045327203,0.09750938460182135
34115,1752297.2628845542,0.08834895369997287
34116,1191721.597625541,0.07025796755035074
34117,1323851.4752595136,0.07516193604321852
34118,907453.6024930746,0.057652014395984885
34119,937822.399786921,0.05916683518761934
34120,1784231.285167493,0.08920388083717179
34121,1032592.7957168664,0.06360931943471382
34122,847636.2217691939,0.05452090959360523
34123,1490132.0403935586,0.08070716883990348
34124,1744218.793243196,0.08813031801822446
34125,1883220.3947161578,0.09176393844145081
34126,2734831.2392631746,0.10961802007716459
34127,925296.5783209556,0.05854780509507984
34128,1481987.9386808567,0.08044969305490035
34129,1286059.7214811894,0.07380891577191306
34130,1007640.8303771927,0.06247874311810153
34131,1757398.1365061044,0.0884865076955692
34132,1693803.0096471692,0.08674357747243788
34133,2377963.6816783063,0.10289271978350212
34134,983418.4623566412,0.06135531177716591
34135,1250963.3184280545,0.07251789311039358
34136,1210129.2543857738,0.07097147141355364
34137,1507277.7973952745,0.08124486072399573
34138,1228048.105189342,0.07165612600043159
34139,1289475.4726141652,0.0739327592654686
34140,1082579.8882801607,0.06579770384460826
34141,1492325.5921620342,0.08077628789038616
34142,1642667.1505951309,0.08529609880066102
34143,2531031.4074092926,0.1058881304109085
34144,1576583.153097417,0.08336027704561721
34145,1390774.2350500834,0.07746971180345197
34146,802954.8634859413,0.05204098101873944
34147,1291083.6413109198,0.07399095737340344
34148,3166705.136688388,0.11671428159730746
34149,1931039.563882446,0.09295485726127506
34150,1172681.6290169465,0.06950877637676967
34151,1676568.2173320386,0.0862604466015322
34152,1622556.4794563863,0.08471499564632867
34153,1597850.0865623408,0.08399159297618897
34154,1240006.8928685312,0.07210775812799564
34155,1539347.1879373665,0.08223503752273564
34156,2023768.059238197,0.09518593514726836
34157,1731539.5603643036,0.087785206447071
34158,2716762.4357876466,0.10929826269206866
34159,1569972.2131059156,0.08316236880780958
34160,1187322.7075462255,0.07008590086578659
34161,1735600.8048678595,0.08789601042115525
34162,2488739.8788989177,0.10507822554885626
34163,1529444.7406659047,0.0819314111973084
34164,1453696.9744269191,0.07954463486393704
34165,3774508.9362435425,0.1252717365592113
34166,1682343.6378936647,0.08642287203281862
34167,1122792.251891555,0.06748910715212375
34168,2003444.3857237715,0.09470543216786909
34169,1718519.8354222057,0.08742830250003131
34170,1786744.7577681504,0.0892705479919702
34171,1741951.9656858784,0.08806879456812644
34172,1858692.099367359,0.09114179991683513
34173,1347107.6391467182,0.07597630700398672
34174,823208.7703189522,0.05318106554896884
34175,1259940.0059938922,0.07285136726671548
34176,1799185.4612218542,0.08959920907188246
34177,1502544.7411321015,0.0810970187822091
34178,1056103.930197205,0.06465094926792792
34179,1582955.0528339574,0.08355027943352167
34180,1613352.5131460526,0.0844467430155853
34181,948535.132730979,0.059690019495895585
34182,1498010.7637600584,0.08095497693498133
34183,1789486.6444864797,0.08934317135873715
34184,1515682.6093632714,0.0815063027365881
34185,1601655.5538829388,0.08410371110831227
34186,1061326.0299674985,0.06487929503558898
34187,1845780.192785297,0.09081113865166346
34188,1528419.8152221642,0.0818998778839739
34189,1143516.9280672148,0.06833832478499202
34190,1202132.9501182411,0.07066280892003407
34191,1466192.9520864924,0.07994645341827078
34192,1166589.4891184762,0.06926660231332482
34193,1406872.3395056203,0.07800897722457223
34194,1281122.4848934598,0.07362935120967262
34195,1437109.5234779436,0.07900611737125773
34196,1918304.1934360545,0.09264046750701249
34197,879838.256297284,0.056231836339362795
34198,1661217.2932180776,0.08582610798135248
34199,614056.7888928858,0.0398440159282365
34200,781925.5723297425,0.050827765656682455
34201,1104509.4730121468,0.06672740789933673
34202,1477233.062978103,0.08029874117984304
34203,1385762.6406076057,0.07730061083558248
34204,1269567.6839060509,0.07320650861243605
34205,1078788.9833870572,0.06563516459005059
34206,2890909.850541176,0.11229888468811033
34207,1990601.994332174,0.09439939581726575
34208,1448675.3016748335,0.07938222746263945
34209,1194523.3312422282,0.07036724355847612
34210,1321130.602632063,0.07506576546052912
34211,2135881.9277369296,0.09775637187688657
34212,1099565.3969064613,0.06651935547018173
34213,2051404.5660577193,0.09583197881798955
34214,2597357.7813216527,0.1071326080485453
34215,1054948.1837360514,0.06460026621944759
34216,743392.9096316701,0.04852145621854276
34217,1427408.855065627,0.07868841984741737
34218,1483130.3214600766,0.08048589097648362
34219,1055270.8926855335,0.06461442334507539
34220,1374290.5065963138,0.07691130595263518
34221,796281.892418621,0.05165933122664468
34222,1652377.6085361347,0.08557425305029476
34223,1640700.0713723442,0.08523956065844218
34224,1990667.5319955149,0.09440096237962958
34225,1792909.1532866487,0.08943367291628723
34226,1604683.6437597303,0.08419274395297816
34227,1303505.7310676086,0.07443817873302261
34228,1238047.936734348,0.07203406286690828
34229,1662842.4026858697,0.08587227007646048
34230,2556055.597314796,0.10636128233517317
34231,1030357.0042995668,0.06350908738211114
34232,1871463.292579879,0.091466703313551
34233,1623310.282438514,0.08473690095409037
34234,1147440.507946365,0.06849743908401162
34235,1142705.6057748802,0.06830535780281521
34236,892342.5762219371,0.05688010332267224
34237,1060722.8449944744,0.06485297464570294
34238,2068074.116068046,0.09621764053206272
34239,1435729.6651374537,0.07896105228391348
34240,1808414.38150542,0.08984161918119371
34241,1672245.4482141412,0.08613852432868496
34242,1750069.7174683427,0.08828876384588136
34243,1309893.428305108,0.07466656457943821
34244,2526403.7049526423,0.10580014081805844
34245,915590.2035121367,0.05806257572407625
34246,1253743.8846931418,0.07262143214976335
34247,1196138.0056685687,0.07043010939485894
34248,1863381.2949970318,0.09126134199196789
34249,1172169.1135087367,0.06948844933405574
34250,1593167.8457821652,0.08385329202166814
34251,1925766.0217163607,0.09282491407491844
34252,1777321.7777982573,0.08902014963448934
34253,2194682.5528394314,0.09905333813631167
34254,1375027.7771188577,0.07693641839888277
34255,1617679.8312770163,0.08457304595452086
34256,1097814.7592150292,0.06644547204409412
34257,2745993.006170669,0.10981453782984008
34258,1617168.2086430138,0.08455812990388245
34259,1392625.7853348013,0.07753203930819352
34260,682925.9273736187,0.04466098064536017
34261,1754877.8070373354,0.08841859039391387
34262,1696312.6912739275,0.0868135370874017
34263,2063162.56834419,0.0961043183330601
34264,770042.5300696364,0.05012833854219356
34265,943254.3533485598,0.05943282916295112
34266,1171645.537100817,0.0694676748210481
34267,1307009.6703864974,0.0745635908543909
34268,861942.1897081432,0.055288542774056815
34269,1661686.3074242133,0.08583943501096014
34270,971638.2274464848,0.06079934474838322
34271,970038.6223068992,0.06072335486409153
34272,2021896.3161476925,0.0951418758364293
34273,1115425.2255367746,0.06718361857797661
34274,1192018.2421558423,0.07026954920128503
34275,1211826.3386722808,0.07103672893884005
34276,1467830.0669819901,0.07999885333615842
34277,1682944.4965000323,0.08643973967841756
34278,1836135.5887542614,0.09056270306371705
34279,1832202.060420589,0.09046102068453465
34280,1878146.3722352702,0.09163587876491475
34281,1531855.0580872044,0.08200548851067757
34282,1708634.2879797046,0.08715558273087098
34283,1653841.6046539203,0.08561605325064425
34284,1312305.135048314,0.07475251585150677
34285,1258080.687708301,0.07278248264142606
34286,1498896.0312583873,0.08098274314721365
34287,924675.8721969232,0.05851692155432753
34288,1091557.634979994,0.06618047369218782
34289,1541318.0804049561,0.08229524553739553
34290,988128.7324579859,0.06157583154717816
34291,1335334.078073933,0.0755657227139297
34292,1324427.3029059984,0.07518226471316436
34293,1315713.8964218788,0.07487374399655544
34294,1341010.1556374389,0.07576409735795675
34295,1109813.7199924933,0.06694962854503128
34296,1488924.6396230971,0.08066908197326406
34297,1490717.7626614086,0.08072563453028936
34298,2573582.9564469443,0.10669005451416136
34299,1467481.8766826927,0.0799877133251019
34300,2126216.480383293,0.09753991841446985
34301,1573691.4927327107,0.083273808785304
34302,1541550.0002011992,0.08230232552033523
34303,1707126.3257026523,0.08711384886622553
34304,1065227.631489251,0.06504919928452457
34305,1622993.0396796837,0.08472768315258383
34306,1340668.1388549688,0.07575216688831432
34307,1310828.7365061494,0.07469991615957272
34308,1897656.2282481322,0.09212647722423672
34309,1409768.8790660196,0.07810538055603966
34310,1565696.8102966333,0.08303395341951303
34311,1728574.6077392327,0.08770415578556179
34312,2015361.8458851306,0.0949877532715857
34313,1327983.3673513427,0.07530761885386617
34314,1257775.8688911393,0.07277118032544005
34315,2252916.3794424664,0.1003054488483559
34316,1550691.183497537,0.0825805766233223
34317,1175391.0740922918,0.06961609554685388
34318,1196730.4520296154,0.07045315538498453
34319,2423031.7708127433,0.10379338482709222
34320,1725307.4925782485,0.08761469099488384
34321,1825861.8032495312,0.09029668359010001
34322,934181.370484594,0.058987713649315765
34323,822342.4946819446,0.05313285523210576
34324,2748494.4218699005,0.10985847376581992
34325,979563.9461206059,0.06117410271599355
34326,914725.5784471936,0.05801911405282856
34327,1957440.5747517436,0.09360033302413262
34328,1448656.573570201,0.07938162076419242
34329,1987047.008132944,0.09431434613296119
34330,1600964.5437298797,0.08408337124981635
34331,916806.8805577921,0.05812366737155106
34332,1902619.1448745343,0.09225050584498584
34333,1684429.0527991783,0.08648139030421964
34334,1822854.361592575,0.0902185408716194
34335,1345072.968048872,0.07590559702560729
34336,885114.162123526,0.05650642537117223
34337,2954123.559234022,0.11334545666768903
34338,1049987.128073205,0.06438210358079921
34339,1475193.5114038943,0.08023384955617185
34340,1547045.830418616,0.08246980323884912
34341,1528266.5508478195,0.08189516074553849
34342,1034471.1577232993,0.06369336735150766
34343,969972.358162475,0.060720204374472564
34344,1234768.9056850832,0.07191045687055797
34345,1467965.3460106605,0.0800031807757402
34346,1081340.083021573,0.06574460580980013
34347,1591185.4277569023,0.08379461947258138
34348,1822580.935099747,0.09021143028378575
34349,1127175.1365436278,0.06766994393065029
34350,1043307.6830918648,0.0640868120935103
34351,1120995.5148553406,0.06741477900126425
34352,1759457.480740321,0.0885419333367019
34353,1227857.2799804914,0.07164888530534563
34354,1988634.8575449574,0.09435235190023428
34355,1553081.3986441032,0.08265307430508795
34356,1428800.2565886923,0.07873411497383365
34357,1702548.0626322431,0.08698692598220759
34358,1679719.5878138726,0.08634914060342824
34359,1392736.561608743,0.07753576578271248
34360,1416926.0502115234,0.07834277719982241
34361,780855.2716058459,0.05076518666299035
34362,1314001.6509070608,0.0748128878226606
34363,2390449.501337496,0.10314386738993497
34364,2895206.4227030803,0.11237070920546777
34365,880039.5094383345,0.0562423395901992
34366,1148182.650077177,0.06852747689321781
34367,933275.4233368564,0.05894304156108898
34368,904575.3026438596,0.0575059359142569
34369,1886870.789781305,0.09185586422449021
34370,959564.7792065502,0.060222808773411796
34371,1236285.0906600778,0.0719676497893178
